Periodo,Dolar,year,mes,dia
2006-01-01,,2006,01,01
2006-01-02,512.5,2006,01,02
2006-01-03,513.18,2006,01,03
2006-01-04,518.04,2006,01,04
2006-01-05,515.45,2006,01,05
2006-01-06,516.4,2006,01,06
2006-01-07,,2006,01,07
2006-01-08,,2006,01,08
2006-01-09,522.0,2006,01,09
2006-01-10,521.82,2006,01,10
2006-01-11,524.06,2006,01,11
2006-01-12,523.5,2006,01,12
2006-01-13,523.41,2006,01,13
2006-01-14,,2006,01,14
2006-01-15,,2006,01,15
2006-01-16,525.62,2006,01,16
2006-01-17,526.1,2006,01,17
2006-01-18,529.77,2006,01,18
2006-01-19,535.36,2006,01,19
2006-01-20,534.49,2006,01,20
2006-01-21,,2006,01,21
2006-01-22,,2006,01,22
2006-01-23,531.49,2006,01,23
2006-01-24,530.61,2006,01,24
2006-01-25,528.04,2006,01,25
2006-01-26,525.67,2006,01,26
2006-01-27,529.18,2006,01,27
2006-01-28,,2006,01,28
2006-01-29,,2006,01,29
2006-01-30,527.02,2006,01,30
2006-01-31,524.78,2006,01,31
2006-02-01,524.37,2006,02,01
2006-02-02,528.42,2006,02,02
2006-02-03,529.29,2006,02,03
2006-02-04,,2006,02,04
2006-02-05,,2006,02,05
2006-02-06,529.98,2006,02,06
2006-02-07,526.1,2006,02,07
2006-02-08,526.51,2006,02,08
2006-02-09,530.97,2006,02,09
2006-02-10,528.81,2006,02,10
2006-02-11,,2006,02,11
2006-02-12,,2006,02,12
2006-02-13,527.34,2006,02,13
2006-02-14,531.88,2006,02,14
2006-02-15,532.35,2006,02,15
2006-02-16,530.95,2006,02,16
2006-02-17,528.72,2006,02,17
2006-02-18,,2006,02,18
2006-02-19,,2006,02,19
2006-02-20,522.68,2006,02,20
2006-02-21,524.14,2006,02,21
2006-02-22,518.91,2006,02,22
2006-02-23,520.37,2006,02,23
2006-02-24,516.91,2006,02,24
2006-02-25,,2006,02,25
2006-02-26,,2006,02,26
2006-02-27,517.63,2006,02,27
2006-02-28,517.76,2006,02,28
2006-03-01,517.33,2006,03,01
2006-03-02,516.75,2006,03,02
2006-03-03,518.29,2006,03,03
2006-03-04,,2006,03,04
2006-03-05,,2006,03,05
2006-03-06,522.28,2006,03,06
2006-03-07,525.23,2006,03,07
2006-03-08,529.31,2006,03,08
2006-03-09,533.88,2006,03,09
2006-03-10,530.55,2006,03,10
2006-03-11,,2006,03,11
2006-03-12,,2006,03,12
2006-03-13,531.29,2006,03,13
2006-03-14,532.08,2006,03,14
2006-03-15,530.6,2006,03,15
2006-03-16,527.18,2006,03,16
2006-03-17,526.57,2006,03,17
2006-03-18,,2006,03,18
2006-03-19,,2006,03,19
2006-03-20,526.7,2006,03,20
2006-03-21,529.78,2006,03,21
2006-03-22,533.51,2006,03,22
2006-03-23,532.05,2006,03,23
2006-03-24,531.15,2006,03,24
2006-03-25,,2006,03,25
2006-03-26,,2006,03,26
2006-03-27,533.53,2006,03,27
2006-03-28,535.0,2006,03,28
2006-03-29,536.16,2006,03,29
2006-03-30,534.81,2006,03,30
2006-03-31,527.7,2006,03,31
2006-04-01,,2006,04,01
2006-04-02,,2006,04,02
2006-04-03,526.18,2006,04,03
2006-04-04,525.4,2006,04,04
2006-04-05,521.03,2006,04,05
2006-04-06,520.72,2006,04,06
2006-04-07,519.17,2006,04,07
2006-04-08,,2006,04,08
2006-04-09,,2006,04,09
2006-04-10,518.77,2006,04,10
2006-04-11,517.83,2006,04,11
2006-04-12,516.08,2006,04,12
2006-04-13,512.44,2006,04,13
2006-04-14,,2006,04,14
2006-04-15,,2006,04,15
2006-04-16,,2006,04,16
2006-04-17,514.83,2006,04,17
2006-04-18,511.53,2006,04,18
2006-04-19,511.44,2006,04,19
2006-04-20,513.54,2006,04,20
2006-04-21,517.35,2006,04,21
2006-04-22,,2006,04,22
2006-04-23,,2006,04,23
2006-04-24,516.34,2006,04,24
2006-04-25,514.91,2006,04,25
2006-04-26,515.35,2006,04,26
2006-04-27,517.67,2006,04,27
2006-04-28,518.62,2006,04,28
2006-04-29,,2006,04,29
2006-04-30,,2006,04,30
2006-05-01,,2006,05,01
2006-05-02,514.97,2006,05,02
2006-05-03,515.87,2006,05,03
2006-05-04,517.04,2006,05,04
2006-05-05,514.46,2006,05,05
2006-05-06,,2006,05,06
2006-05-07,,2006,05,07
2006-05-08,513.38,2006,05,08
2006-05-09,513.5,2006,05,09
2006-05-10,515.61,2006,05,10
2006-05-11,512.76,2006,05,11
2006-05-12,513.5,2006,05,12
2006-05-13,,2006,05,13
2006-05-14,,2006,05,14
2006-05-15,516.35,2006,05,15
2006-05-16,521.72,2006,05,16
2006-05-17,518.77,2006,05,17
2006-05-18,521.3,2006,05,18
2006-05-19,522.72,2006,05,19
2006-05-20,,2006,05,20
2006-05-21,,2006,05,21
2006-05-22,523.81,2006,05,22
2006-05-23,529.41,2006,05,23
2006-05-24,528.33,2006,05,24
2006-05-25,532.92,2006,05,25
2006-05-26,528.64,2006,05,26
2006-05-27,,2006,05,27
2006-05-28,,2006,05,28
2006-05-29,525.52,2006,05,29
2006-05-30,525.78,2006,05,30
2006-05-31,531.11,2006,05,31
2006-06-01,531.87,2006,06,01
2006-06-02,532.0,2006,06,02
2006-06-03,,2006,06,03
2006-06-04,,2006,06,04
2006-06-05,529.91,2006,06,05
2006-06-06,533.59,2006,06,06
2006-06-07,536.59,2006,06,07
2006-06-08,541.68,2006,06,08
2006-06-09,545.45,2006,06,09
2006-06-10,,2006,06,10
2006-06-11,,2006,06,11
2006-06-12,,2006,06,12
2006-06-13,541.03,2006,06,13
2006-06-14,546.74,2006,06,14
2006-06-15,544.51,2006,06,15
2006-06-16,542.1,2006,06,16
2006-06-17,,2006,06,17
2006-06-18,,2006,06,18
2006-06-19,543.03,2006,06,19
2006-06-20,546.51,2006,06,20
2006-06-21,547.83,2006,06,21
2006-06-22,545.64,2006,06,22
2006-06-23,546.57,2006,06,23
2006-06-24,,2006,06,24
2006-06-25,,2006,06,25
2006-06-26,,2006,06,26
2006-06-27,549.63,2006,06,27
2006-06-28,548.05,2006,06,28
2006-06-29,549.16,2006,06,29
2006-06-30,547.31,2006,06,30
2006-07-01,,2006,07,01
2006-07-02,,2006,07,02
2006-07-03,539.44,2006,07,03
2006-07-04,537.56,2006,07,04
2006-07-05,537.67,2006,07,05
2006-07-06,540.54,2006,07,06
2006-07-07,538.91,2006,07,07
2006-07-08,,2006,07,08
2006-07-09,,2006,07,09
2006-07-10,538.58,2006,07,10
2006-07-11,538.27,2006,07,11
2006-07-12,540.29,2006,07,12
2006-07-13,539.38,2006,07,13
2006-07-14,541.46,2006,07,14
2006-07-15,,2006,07,15
2006-07-16,,2006,07,16
2006-07-17,544.45,2006,07,17
2006-07-18,545.93,2006,07,18
2006-07-19,544.31,2006,07,19
2006-07-20,542.35,2006,07,20
2006-07-21,539.52,2006,07,21
2006-07-22,,2006,07,22
2006-07-23,,2006,07,23
2006-07-24,540.71,2006,07,24
2006-07-25,541.17,2006,07,25
2006-07-26,540.37,2006,07,26
2006-07-27,542.57,2006,07,27
2006-07-28,540.14,2006,07,28
2006-07-29,,2006,07,29
2006-07-30,,2006,07,30
2006-07-31,539.41,2006,07,31
2006-08-01,540.02,2006,08,01
2006-08-02,542.45,2006,08,02
2006-08-03,541.25,2006,08,03
2006-08-04,543.09,2006,08,04
2006-08-05,,2006,08,05
2006-08-06,,2006,08,06
2006-08-07,541.78,2006,08,07
2006-08-08,543.3,2006,08,08
2006-08-09,545.21,2006,08,09
2006-08-10,543.72,2006,08,10
2006-08-11,545.36,2006,08,11
2006-08-12,,2006,08,12
2006-08-13,,2006,08,13
2006-08-14,541.88,2006,08,14
2006-08-15,,2006,08,15
2006-08-16,541.87,2006,08,16
2006-08-17,536.17,2006,08,17
2006-08-18,530.69,2006,08,18
2006-08-19,,2006,08,19
2006-08-20,,2006,08,20
2006-08-21,532.01,2006,08,21
2006-08-22,530.92,2006,08,22
2006-08-23,531.18,2006,08,23
2006-08-24,532.22,2006,08,24
2006-08-25,534.49,2006,08,25
2006-08-26,,2006,08,26
2006-08-27,,2006,08,27
2006-08-28,537.03,2006,08,28
2006-08-29,537.07,2006,08,29
2006-08-30,538.12,2006,08,30
2006-08-31,537.77,2006,08,31
2006-09-01,539.61,2006,09,01
2006-09-02,,2006,09,02
2006-09-03,,2006,09,03
2006-09-04,539.29,2006,09,04
2006-09-05,536.63,2006,09,05
2006-09-06,537.56,2006,09,06
2006-09-07,540.01,2006,09,07
2006-09-08,540.8,2006,09,08
2006-09-09,,2006,09,09
2006-09-10,,2006,09,10
2006-09-11,539.53,2006,09,11
2006-09-12,540.19,2006,09,12
2006-09-13,538.11,2006,09,13
2006-09-14,537.61,2006,09,14
2006-09-15,537.62,2006,09,15
2006-09-16,,2006,09,16
2006-09-17,,2006,09,17
2006-09-18,,2006,09,18
2006-09-19,,2006,09,19
2006-09-20,537.19,2006,09,20
2006-09-21,537.71,2006,09,21
2006-09-22,539.32,2006,09,22
2006-09-23,,2006,09,23
2006-09-24,,2006,09,24
2006-09-25,539.91,2006,09,25
2006-09-26,539.66,2006,09,26
2006-09-27,538.13,2006,09,27
2006-09-28,537.3,2006,09,28
2006-09-29,538.22,2006,09,29
2006-09-30,,2006,09,30
2006-10-01,,2006,10,01
2006-10-02,537.03,2006,10,02
2006-10-03,533.9,2006,10,03
2006-10-04,534.2,2006,10,04
2006-10-05,535.13,2006,10,05
2006-10-06,536.91,2006,10,06
2006-10-07,,2006,10,07
2006-10-08,,2006,10,08
2006-10-09,,2006,10,09
2006-10-10,537.63,2006,10,10
2006-10-11,536.71,2006,10,11
2006-10-12,536.46,2006,10,12
2006-10-13,533.62,2006,10,13
2006-10-14,,2006,10,14
2006-10-15,,2006,10,15
2006-10-16,532.15,2006,10,16
2006-10-17,530.81,2006,10,17
2006-10-18,531.06,2006,10,18
2006-10-19,527.6,2006,10,19
2006-10-20,526.71,2006,10,20
2006-10-21,,2006,10,21
2006-10-22,,2006,10,22
2006-10-23,526.32,2006,10,23
2006-10-24,526.93,2006,10,24
2006-10-25,527.19,2006,10,25
2006-10-26,525.02,2006,10,26
2006-10-27,524.12,2006,10,27
2006-10-28,,2006,10,28
2006-10-29,,2006,10,29
2006-10-30,524.56,2006,10,30
2006-10-31,525.99,2006,10,31
2006-11-01,,2006,11,01
2006-11-02,524.75,2006,11,02
2006-11-03,525.55,2006,11,03
2006-11-04,,2006,11,04
2006-11-05,,2006,11,05
2006-11-06,525.77,2006,11,06
2006-11-07,524.68,2006,11,07
2006-11-08,523.34,2006,11,08
2006-11-09,525.45,2006,11,09
2006-11-10,524.98,2006,11,10
2006-11-11,,2006,11,11
2006-11-12,,2006,11,12
2006-11-13,525.24,2006,11,13
2006-11-14,527.04,2006,11,14
2006-11-15,527.29,2006,11,15
2006-11-16,528.11,2006,11,16
2006-11-17,527.77,2006,11,17
2006-11-18,,2006,11,18
2006-11-19,,2006,11,19
2006-11-20,529.13,2006,11,20
2006-11-21,529.1,2006,11,21
2006-11-22,529.66,2006,11,22
2006-11-23,529.52,2006,11,23
2006-11-24,529.17,2006,11,24
2006-11-25,,2006,11,25
2006-11-26,,2006,11,26
2006-11-27,530.13,2006,11,27
2006-11-28,529.6,2006,11,28
2006-11-29,530.61,2006,11,29
2006-11-30,529.29,2006,11,30
2006-12-01,527.69,2006,12,01
2006-12-02,,2006,12,02
2006-12-03,,2006,12,03
2006-12-04,525.91,2006,12,04
2006-12-05,525.8,2006,12,05
2006-12-06,524.78,2006,12,06
2006-12-07,525.69,2006,12,07
2006-12-08,,2006,12,08
2006-12-09,,2006,12,09
2006-12-10,,2006,12,10
2006-12-11,524.85,2006,12,11
2006-12-12,525.04,2006,12,12
2006-12-13,526.2,2006,12,13
2006-12-14,527.24,2006,12,14
2006-12-15,526.76,2006,12,15
2006-12-16,,2006,12,16
2006-12-17,,2006,12,17
2006-12-18,524.79,2006,12,18
2006-12-19,525.47,2006,12,19
2006-12-20,526.95,2006,12,20
2006-12-21,526.91,2006,12,21
2006-12-22,528.52,2006,12,22
2006-12-23,,2006,12,23
2006-12-24,,2006,12,24
2006-12-25,,2006,12,25
2006-12-26,530.47,2006,12,26
2006-12-27,532.69,2006,12,27
2006-12-28,533.87,2006,12,28
2006-12-29,534.43,2006,12,29
2006-12-30,,2006,12,30
2006-12-31,,2006,12,31
