Periodo,Dolar,year,mes,dia
2017-01-01,,2017,01,01
2017-01-02,,2017,01,02
2017-01-03,669.47,2017,01,03
2017-01-04,673.36,2017,01,04
2017-01-05,671.78,2017,01,05
2017-01-06,666.41,2017,01,06
2017-01-07,,2017,01,07
2017-01-08,,2017,01,08
2017-01-09,665.29,2017,01,09
2017-01-10,670.35,2017,01,10
2017-01-11,670.94,2017,01,11
2017-01-12,671.69,2017,01,12
2017-01-13,663.01,2017,01,13
2017-01-14,,2017,01,14
2017-01-15,,2017,01,15
2017-01-16,660.13,2017,01,16
2017-01-17,661.38,2017,01,17
2017-01-18,657.85,2017,01,18
2017-01-19,658.91,2017,01,19
2017-01-20,660.18,2017,01,20
2017-01-21,,2017,01,21
2017-01-22,,2017,01,22
2017-01-23,659.49,2017,01,23
2017-01-24,652.92,2017,01,24
2017-01-25,653.84,2017,01,25
2017-01-26,650.98,2017,01,26
2017-01-27,648.31,2017,01,27
2017-01-28,,2017,01,28
2017-01-29,,2017,01,29
2017-01-30,649.92,2017,01,30
2017-01-31,648.87,2017,01,31
2017-02-01,646.19,2017,02,01
2017-02-02,646.97,2017,02,02
2017-02-03,643.18,2017,02,03
2017-02-04,,2017,02,04
2017-02-05,,2017,02,05
2017-02-06,641.8,2017,02,06
2017-02-07,639.35,2017,02,07
2017-02-08,646.06,2017,02,08
2017-02-09,646.58,2017,02,09
2017-02-10,646.82,2017,02,10
2017-02-11,,2017,02,11
2017-02-12,,2017,02,12
2017-02-13,642.62,2017,02,13
2017-02-14,642.4,2017,02,14
2017-02-15,641.89,2017,02,15
2017-02-16,639.93,2017,02,16
2017-02-17,638.35,2017,02,17
2017-02-18,,2017,02,18
2017-02-19,,2017,02,19
2017-02-20,643.49,2017,02,20
2017-02-21,642.21,2017,02,21
2017-02-22,643.63,2017,02,22
2017-02-23,641.51,2017,02,23
2017-02-24,640.36,2017,02,24
2017-02-25,,2017,02,25
2017-02-26,,2017,02,26
2017-02-27,645.66,2017,02,27
2017-02-28,645.19,2017,02,28
2017-03-01,648.88,2017,03,01
2017-03-02,650.98,2017,03,02
2017-03-03,654.11,2017,03,03
2017-03-04,,2017,03,04
2017-03-05,,2017,03,05
2017-03-06,655.57,2017,03,06
2017-03-07,658.71,2017,03,07
2017-03-08,660.02,2017,03,08
2017-03-09,661.65,2017,03,09
2017-03-10,664.84,2017,03,10
2017-03-11,,2017,03,11
2017-03-12,,2017,03,12
2017-03-13,663.4,2017,03,13
2017-03-14,665.43,2017,03,14
2017-03-15,669.07,2017,03,15
2017-03-16,669.52,2017,03,16
2017-03-17,661.2,2017,03,17
2017-03-18,,2017,03,18
2017-03-19,,2017,03,19
2017-03-20,661.15,2017,03,20
2017-03-21,662.35,2017,03,21
2017-03-22,657.83,2017,03,22
2017-03-23,662.84,2017,03,23
2017-03-24,662.42,2017,03,24
2017-03-25,,2017,03,25
2017-03-26,,2017,03,26
2017-03-27,661.64,2017,03,27
2017-03-28,663.74,2017,03,28
2017-03-29,666.04,2017,03,29
2017-03-30,663.61,2017,03,30
2017-03-31,662.66,2017,03,31
2017-04-01,,2017,04,01
2017-04-02,,2017,04,02
2017-04-03,663.97,2017,04,03
2017-04-04,658.16,2017,04,04
2017-04-05,661.42,2017,04,05
2017-04-06,657.74,2017,04,06
2017-04-07,656.51,2017,04,07
2017-04-08,,2017,04,08
2017-04-09,,2017,04,09
2017-04-10,656.47,2017,04,10
2017-04-11,654.22,2017,04,11
2017-04-12,652.8,2017,04,12
2017-04-13,653.65,2017,04,13
2017-04-14,,2017,04,14
2017-04-15,,2017,04,15
2017-04-16,,2017,04,16
2017-04-17,650.0,2017,04,17
2017-04-18,647.47,2017,04,18
2017-04-19,,2017,04,19
2017-04-20,647.68,2017,04,20
2017-04-21,649.26,2017,04,21
2017-04-22,,2017,04,22
2017-04-23,,2017,04,23
2017-04-24,650.65,2017,04,24
2017-04-25,653.71,2017,04,25
2017-04-26,660.04,2017,04,26
2017-04-27,665.35,2017,04,27
2017-04-28,664.28,2017,04,28
2017-04-29,,2017,04,29
2017-04-30,,2017,04,30
2017-05-01,,2017,05,01
2017-05-02,665.41,2017,05,02
2017-05-03,666.95,2017,05,03
2017-05-04,668.98,2017,05,04
2017-05-05,673.89,2017,05,05
2017-05-06,,2017,05,06
2017-05-07,,2017,05,07
2017-05-08,674.88,2017,05,08
2017-05-09,676.32,2017,05,09
2017-05-10,679.05,2017,05,10
2017-05-11,672.92,2017,05,11
2017-05-12,671.55,2017,05,12
2017-05-13,,2017,05,13
2017-05-14,,2017,05,14
2017-05-15,671.03,2017,05,15
2017-05-16,668.03,2017,05,16
2017-05-17,666.26,2017,05,17
2017-05-18,668.62,2017,05,18
2017-05-19,675.8,2017,05,19
2017-05-20,,2017,05,20
2017-05-21,,2017,05,21
2017-05-22,670.3,2017,05,22
2017-05-23,668.21,2017,05,23
2017-05-24,672.4,2017,05,24
2017-05-25,674.27,2017,05,25
2017-05-26,669.42,2017,05,26
2017-05-27,,2017,05,27
2017-05-28,,2017,05,28
