Día,year,mes,valor
1,2019.0,Ene,
2,2019.0,Ene,694.77
3,2019.0,Ene,697.09
4,2019.0,Ene,697.64
5,2019.0,Ene,
6,2019.0,Ene,
7,2019.0,Ene,688.42
8,2019.0,Ene,679.69
9,2019.0,Ene,680.1
10,2019.0,Ene,678.09
11,2019.0,Ene,677.58
12,2019.0,Ene,
13,2019.0,Ene,
14,2019.0,Ene,675.15
15,2019.0,Ene,674.95
16,2019.0,Ene,673.76
17,2019.0,Ene,672.73
18,2019.0,Ene,671.37
19,2019.0,Ene,
20,2019.0,Ene,
21,2019.0,Ene,670.1
22,2019.0,Ene,672.42
23,2019.0,Ene,672.26
24,2019.0,Ene,672.41
25,2019.0,Ene,672.14
26,2019.0,Ene,
27,2019.0,Ene,
28,2019.0,Ene,667.04
29,2019.0,Ene,671.29
30,2019.0,Ene,669.6
31,2019.0,Ene,666.76
1,2020.0,Ene,
2,2020.0,Ene,748.74
3,2020.0,Ene,754.16
4,2020.0,Ene,
5,2020.0,Ene,
6,2020.0,Ene,758.49
7,2020.0,Ene,771.82
8,2020.0,Ene,773.12
9,2020.0,Ene,766.83
10,2020.0,Ene,764.69
11,2020.0,Ene,
12,2020.0,Ene,
13,2020.0,Ene,770.56
14,2020.0,Ene,777.66
15,2020.0,Ene,772.29
16,2020.0,Ene,772.01
17,2020.0,Ene,773.36
18,2020.0,Ene,
19,2020.0,Ene,
20,2020.0,Ene,771.38
21,2020.0,Ene,769.93
22,2020.0,Ene,770.5
23,2020.0,Ene,772.12
24,2020.0,Ene,771.94
25,2020.0,Ene,
26,2020.0,Ene,
27,2020.0,Ene,776.52
28,2020.0,Ene,787.86
29,2020.0,Ene,788.13
30,2020.0,Ene,788.18
31,2020.0,Ene,797.96
1,2019.0,Feb,657.81
2,2019.0,Feb,
3,2019.0,Feb,
4,2019.0,Feb,655.39
5,2019.0,Feb,653.8
6,2019.0,Feb,652.78
7,2019.0,Feb,653.9
8,2019.0,Feb,654.44
9,2019.0,Feb,
10,2019.0,Feb,
11,2019.0,Feb,656.46
12,2019.0,Feb,660.82
13,2019.0,Feb,660.49
14,2019.0,Feb,661.6
15,2019.0,Feb,665.9
16,2019.0,Feb,
17,2019.0,Feb,
18,2019.0,Feb,663.98
19,2019.0,Feb,660.82
20,2019.0,Feb,658.75
21,2019.0,Feb,654.52
22,2019.0,Feb,654.33
23,2019.0,Feb,
24,2019.0,Feb,
25,2019.0,Feb,651.36
26,2019.0,Feb,649.22
27,2019.0,Feb,649.8
28,2019.0,Feb,649.92
29,2019.0,Feb,
30,2019.0,Feb,
31,2019.0,Feb,
1,2020.0,Feb,
2,2020.0,Feb,
3,2020.0,Feb,799.11
4,2020.0,Feb,790.92
5,2020.0,Feb,781.78
6,2020.0,Feb,776.99
7,2020.0,Feb,779.12
8,2020.0,Feb,
9,2020.0,Feb,
10,2020.0,Feb,788.8
11,2020.0,Feb,795.88
12,2020.0,Feb,792.48
13,2020.0,Feb,788.33
14,2020.0,Feb,795.12
15,2020.0,Feb,
16,2020.0,Feb,
17,2020.0,Feb,792.73
18,2020.0,Feb,791.95
19,2020.0,Feb,796.9
20,2020.0,Feb,797.4
21,2020.0,Feb,804.74
22,2020.0,Feb,
23,2020.0,Feb,
24,2020.0,Feb,809.82
25,2020.0,Feb,810.2
26,2020.0,Feb,807.96
27,2020.0,Feb,811.1
28,2020.0,Feb,816.26
29,2020.0,Feb,
30,2020.0,Feb,
31,2020.0,Feb,
1,2019.0,Mar,651.79
2,2019.0,Mar,
3,2019.0,Mar,
4,2019.0,Mar,656.57
5,2019.0,Mar,659.07
6,2019.0,Mar,657.49
7,2019.0,Mar,658.4
8,2019.0,Mar,662.19
9,2019.0,Mar,
10,2019.0,Mar,
11,2019.0,Mar,670.83
12,2019.0,Mar,669.37
13,2019.0,Mar,667.09
14,2019.0,Mar,665.68
15,2019.0,Mar,670.62
16,2019.0,Mar,
17,2019.0,Mar,
18,2019.0,Mar,669.39
19,2019.0,Mar,667.21
20,2019.0,Mar,664.78
21,2019.0,Mar,666.13
22,2019.0,Mar,665.12
23,2019.0,Mar,
24,2019.0,Mar,
25,2019.0,Mar,676.6
26,2019.0,Mar,679.08
27,2019.0,Mar,679.02
28,2019.0,Mar,683.73
29,2019.0,Mar,681.09
30,2019.0,Mar,
31,2019.0,Mar,
1,2020.0,Mar,
2,2020.0,Mar,818.32
3,2020.0,Mar,817.45
4,2020.0,Mar,809.81
5,2020.0,Mar,812.19
6,2020.0,Mar,823.28
7,2020.0,Mar,
8,2020.0,Mar,
9,2020.0,Mar,828.95
10,2020.0,Mar,841.06
11,2020.0,Mar,834.22
12,2020.0,Mar,835.48
13,2020.0,Mar,852.06
14,2020.0,Mar,
15,2020.0,Mar,
16,2020.0,Mar,836.66
17,2020.0,Mar,850.51
18,2020.0,Mar,855.09
19,2020.0,Mar,862.69
20,2020.0,Mar,867.83
21,2020.0,Mar,
22,2020.0,Mar,
23,2020.0,Mar,851.01
24,2020.0,Mar,861.07
25,2020.0,Mar,847.04
26,2020.0,Mar,843.96
27,2020.0,Mar,836.05
28,2020.0,Mar,
29,2020.0,Mar,
30,2020.0,Mar,835.23
31,2020.0,Mar,846.3
1,2019.0,Abr,678.53
2,2019.0,Abr,672.56
3,2019.0,Abr,670.05
4,2019.0,Abr,667.55
5,2019.0,Abr,666.32
6,2019.0,Abr,
7,2019.0,Abr,
8,2019.0,Abr,664.17
9,2019.0,Abr,663.01
10,2019.0,Abr,663.15
11,2019.0,Abr,662.92
12,2019.0,Abr,664.19
13,2019.0,Abr,
14,2019.0,Abr,
15,2019.0,Abr,660.67
16,2019.0,Abr,662.86
17,2019.0,Abr,663.98
18,2019.0,Abr,660.48
19,2019.0,Abr,
20,2019.0,Abr,
21,2019.0,Abr,
22,2019.0,Abr,662.27
23,2019.0,Abr,663.91
24,2019.0,Abr,668.19
25,2019.0,Abr,672.83
26,2019.0,Abr,676.21
27,2019.0,Abr,
28,2019.0,Abr,
29,2019.0,Abr,673.86
30,2019.0,Abr,677.67
31,2019.0,Abr,
1,2020.0,Abr,852.03
2,2020.0,Abr,863.81
3,2020.0,Abr,861.89
4,2020.0,Abr,
5,2020.0,Abr,
6,2020.0,Abr,863.99
7,2020.0,Abr,853.91
8,2020.0,Abr,842.05
9,2020.0,Abr,851.9
10,2020.0,Abr,
11,2020.0,Abr,
12,2020.0,Abr,
13,2020.0,Abr,839.49
14,2020.0,Abr,844.57
15,2020.0,Abr,848.63
16,2020.0,Abr,859.31
17,2020.0,Abr,852.52
18,2020.0,Abr,
19,2020.0,Abr,
20,2020.0,Abr,849.45
21,2020.0,Abr,856.23
22,2020.0,Abr,862.06
23,2020.0,Abr,856.51
24,2020.0,Abr,858.87
25,2020.0,Abr,
26,2020.0,Abr,
27,2020.0,Abr,859.95
28,2020.0,Abr,856.76
29,2020.0,Abr,850.41
30,2020.0,Abr,836.62
31,2020.0,Abr,
1,2019.0,May,
2,2019.0,May,678.71
3,2019.0,May,683.31
4,2019.0,May,
5,2019.0,May,
6,2019.0,May,678.68
7,2019.0,May,681.09
8,2019.0,May,683.49
9,2019.0,May,684.51
10,2019.0,May,686.43
11,2019.0,May,
12,2019.0,May,
13,2019.0,May,685.67
14,2019.0,May,693.04
15,2019.0,May,692.33
16,2019.0,May,692.62
17,2019.0,May,692.79
18,2019.0,May,
19,2019.0,May,
20,2019.0,May,696.61
21,2019.0,May,
22,2019.0,May,697.23
23,2019.0,May,696.7
24,2019.0,May,698.03
25,2019.0,May,
26,2019.0,May,
27,2019.0,May,694.84
28,2019.0,May,696.46
29,2019.0,May,703.48
30,2019.0,May,708.2
31,2019.0,May,707.86
1,2020.0,May,
2,2020.0,May,
3,2020.0,May,
4,2020.0,May,837.92
5,2020.0,May,838.74
6,2020.0,May,832.84
7,2020.0,May,839.08
8,2020.0,May,836.27
9,2020.0,May,
10,2020.0,May,
11,2020.0,May,827.65
12,2020.0,May,826.05
13,2020.0,May,821.88
14,2020.0,May,820.38
15,2020.0,May,822.93
16,2020.0,May,
17,2020.0,May,
18,2020.0,May,823.86
19,2020.0,May,820.65
