Periodo,Dolar,year,mes,dia
2001-01-01,,2001,01,01
2001-01-02,573.65,2001,01,02
2001-01-03,574.19,2001,01,03
2001-01-04,575.94,2001,01,04
2001-01-05,571.44,2001,01,05
2001-01-06,,2001,01,06
2001-01-07,,2001,01,07
2001-01-08,572.66,2001,01,08
2001-01-09,574.06,2001,01,09
2001-01-10,574.49,2001,01,10
2001-01-11,574.54,2001,01,11
2001-01-12,572.84,2001,01,12
2001-01-13,,2001,01,13
2001-01-14,,2001,01,14
2001-01-15,572.38,2001,01,15
2001-01-16,573.62,2001,01,16
2001-01-17,572.87,2001,01,17
2001-01-18,572.24,2001,01,18
2001-01-19,572.01,2001,01,19
2001-01-20,,2001,01,20
2001-01-21,,2001,01,21
2001-01-22,571.98,2001,01,22
2001-01-23,568.44,2001,01,23
2001-01-24,566.86,2001,01,24
2001-01-25,567.56,2001,01,25
2001-01-26,567.72,2001,01,26
2001-01-27,,2001,01,27
2001-01-28,,2001,01,28
2001-01-29,566.34,2001,01,29
2001-01-30,565.11,2001,01,30
2001-01-31,563.62,2001,01,31
2001-02-01,561.61,2001,02,01
2001-02-02,562.68,2001,02,02
2001-02-03,,2001,02,03
2001-02-04,,2001,02,04
2001-02-05,563.85,2001,02,05
2001-02-06,564.58,2001,02,06
2001-02-07,563.36,2001,02,07
2001-02-08,561.77,2001,02,08
2001-02-09,561.0,2001,02,09
2001-02-10,,2001,02,10
2001-02-11,,2001,02,11
2001-02-12,559.31,2001,02,12
2001-02-13,558.69,2001,02,13
2001-02-14,557.13,2001,02,14
2001-02-15,558.63,2001,02,15
2001-02-16,561.59,2001,02,16
2001-02-17,,2001,02,17
2001-02-18,,2001,02,18
2001-02-19,563.15,2001,02,19
2001-02-20,563.06,2001,02,20
2001-02-21,562.04,2001,02,21
2001-02-22,564.62,2001,02,22
2001-02-23,568.19,2001,02,23
2001-02-24,,2001,02,24
2001-02-25,,2001,02,25
2001-02-26,571.88,2001,02,26
2001-02-27,568.23,2001,02,27
2001-02-28,567.21,2001,02,28
2001-03-01,572.86,2001,03,01
2001-03-02,573.91,2001,03,02
2001-03-03,,2001,03,03
2001-03-04,,2001,03,04
2001-03-05,576.8,2001,03,05
2001-03-06,588.86,2001,03,06
2001-03-07,588.12,2001,03,07
2001-03-08,588.09,2001,03,08
2001-03-09,588.18,2001,03,09
2001-03-10,,2001,03,10
2001-03-11,,2001,03,11
2001-03-12,594.2,2001,03,12
2001-03-13,594.7,2001,03,13
2001-03-14,588.76,2001,03,14
2001-03-15,588.43,2001,03,15
2001-03-16,585.76,2001,03,16
2001-03-17,,2001,03,17
2001-03-18,,2001,03,18
2001-03-19,591.09,2001,03,19
2001-03-20,589.47,2001,03,20
2001-03-21,585.57,2001,03,21
2001-03-22,586.13,2001,03,22
2001-03-23,590.56,2001,03,23
2001-03-24,,2001,03,24
2001-03-25,,2001,03,25
2001-03-26,595.37,2001,03,26
2001-03-27,589.74,2001,03,27
2001-03-28,590.55,2001,03,28
2001-03-29,591.23,2001,03,29
2001-03-30,592.91,2001,03,30
2001-03-31,,2001,03,31
2001-04-01,,2001,04,01
2001-04-02,594.97,2001,04,02
2001-04-03,595.99,2001,04,03
2001-04-04,598.06,2001,04,04
2001-04-05,597.16,2001,04,05
2001-04-06,595.64,2001,04,06
2001-04-07,,2001,04,07
2001-04-08,,2001,04,08
2001-04-09,595.01,2001,04,09
2001-04-10,595.39,2001,04,10
2001-04-11,595.5,2001,04,11
2001-04-12,594.94,2001,04,12
2001-04-13,,2001,04,13
2001-04-14,,2001,04,14
2001-04-15,,2001,04,15
2001-04-16,598.42,2001,04,16
2001-04-17,600.52,2001,04,17
2001-04-18,600.91,2001,04,18
2001-04-19,598.1,2001,04,19
2001-04-20,596.77,2001,04,20
2001-04-21,,2001,04,21
2001-04-22,,2001,04,22
2001-04-23,602.02,2001,04,23
2001-04-24,602.88,2001,04,24
2001-04-25,602.42,2001,04,25
2001-04-26,605.31,2001,04,26
2001-04-27,602.66,2001,04,27
2001-04-28,,2001,04,28
2001-04-29,,2001,04,29
2001-04-30,599.89,2001,04,30
2001-05-01,,2001,05,01
2001-05-02,598.61,2001,05,02
2001-05-03,602.53,2001,05,03
2001-05-04,602.35,2001,05,04
2001-05-05,,2001,05,05
2001-05-06,,2001,05,06
